# power spectrum of chi
# redshift z=1.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  3.001001e-01   6.372234e-15   3.147475e-04   2.964332e-16   360
  3.013820e-01   1.118378e-14   3.134082e-04   1.865405e-15   120
  3.022763e-01   1.239574e-14   0.000000e+00   1.401464e-15   144
  3.029133e-01   2.751822e-16   0.000000e+00   1.323938e-17   96
  3.048165e-01   4.746192e-15   0.000000e+00   4.405091e-16   144
  3.054482e-01   4.488188e-14   0.000000e+00   1.120470e-14   132
  3.063360e-01   8.232319e-15   3.093292e-04   3.567395e-16   176
  3.076248e-01   1.706916e-14   3.123602e-04   1.424524e-15   312
  3.092116e-01   1.822066e-14   0.000000e+00   6.022199e-17   96
  3.098343e-01   1.691259e-14   0.000000e+00   1.429672e-15   144
  3.107899e-01   1.926170e-14   3.092271e-04   1.689614e-15   312
  3.123131e-01   4.073912e-15   0.000000e+00   0.000000e+00   48
  3.129297e-01   6.749872e-15   3.973643e-09   7.063124e-16   192
  3.141593e-01   3.844608e-16   0.000000e+00   0.000000e+00   6
  3.149762e-01   2.646878e-14   2.884066e-04   2.900855e-15   288
  3.162994e-01   7.337675e-15   3.047203e-04   4.103417e-16   192
  3.172124e-01   8.020515e-15   9.345130e-09   3.216288e-16   216
  3.178195e-01   8.917000e-15   0.000000e+00   1.441806e-15   72
  3.193321e-01   1.893857e-14   3.018264e-04   2.175198e-15   192
  3.203366e-01   1.406318e-14   2.241224e-04   8.701945e-16   288
  3.214381e-01   3.190925e-14   0.000000e+00   9.909915e-23   24
  3.222890e-01   1.613076e-14   2.952626e-04   9.694365e-16   456
  3.238280e-01   4.314100e-14   5.619580e-09   6.184496e-15   48
  3.247789e-01   8.440313e-15   2.908218e-04   1.186392e-15   240
  3.258718e-01   3.256333e-15   2.939082e-04   2.184167e-16   216
  3.267908e-01   3.742529e-14   0.000000e+00   5.245331e-15   72
  3.273801e-01   1.900152e-14   1.015467e-08   8.535669e-16   168
  3.290441e-01   1.571886e-14   2.184577e-04   8.325044e-16   288
  3.299773e-01   1.973458e-14   2.890570e-04   1.018642e-15   168
  3.314762e-01   1.215822e-14   0.000000e+00   8.966659e-16   192
  3.320572e-01   1.459173e-14   3.746387e-09   1.103610e-15   144
  3.332162e-01   1.341378e-13   0.000000e+00   3.055093e-14   36
  3.341991e-01   1.759684e-14   2.639705e-04   1.550711e-15   342
