# power spectrum of hij
# redshift z=50.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  2.460253e-01   1.139174e-23   4.588368e-09   7.474285e-25   72
  2.468075e-01   9.922573e-24   3.973643e-09   6.922308e-25   96
  2.483647e-01   6.572976e-24   0.000000e+00   8.944730e-25   24
  2.491396e-01   7.817238e-24   0.000000e+00   4.519077e-25   192
  2.500522e-01   8.529182e-24   2.970416e-04   4.622115e-25   132
  2.514501e-01   8.608209e-24   0.000000e+00   5.419424e-25   96
  2.522156e-01   7.184389e-24   0.000000e+00   5.124475e-25   96
  2.529787e-01   8.243318e-24   3.178914e-09   6.037208e-25   120
  2.544981e-01   8.717022e-24   0.000000e+00   7.700356e-25   48
  2.557435e-01   8.136133e-24   3.599905e-04   4.005593e-25   222
  2.567603e-01   8.891725e-24   0.000000e+00   6.490832e-25   120
  2.575100e-01   6.174435e-24   4.866699e-09   7.968686e-25   24
  2.586015e-01   7.007636e-24   3.715625e-04   2.831874e-25   312
  2.609797e-01   6.227238e-24   3.483547e-04   4.008908e-25   72
  2.619630e-01   6.325983e-24   2.809790e-09   4.612169e-25   96
  2.629726e-01   6.337417e-24   3.547511e-04   3.542249e-25   192
  2.641613e-01   7.093327e-24   4.495664e-09   3.864938e-25   120
  2.648900e-01   7.245827e-24   0.000000e+00   3.905684e-25   144
  2.663415e-01   5.580872e-24   0.000000e+00   5.812380e-25   48
  2.673732e-01   5.788921e-24   3.567146e-04   2.143897e-25   336
  2.685040e-01   5.855609e-24   0.000000e+00   6.324248e-25   48
  2.699360e-01   5.948335e-24   0.000000e+00   3.476295e-25   192
  2.706492e-01   5.353886e-24   0.000000e+00   5.734439e-25   48
  2.726764e-01   6.456918e-24   2.476067e-04   5.928492e-25   56
  2.736844e-01   5.728036e-24   3.180112e-04   2.084732e-25   336
  2.748894e-01   5.319994e-24   3.532127e-09   5.170777e-25   54
  2.759390e-01   5.114173e-24   3.492904e-04   2.247941e-25   240
  2.781181e-01   4.929974e-24   3.344484e-04   2.371021e-25   228
  2.790651e-01   4.755610e-24   3.746387e-09   3.289490e-25   72
  2.799844e-01   4.940992e-24   3.244231e-04   2.877788e-25   144
  2.811298e-01   5.286775e-24   0.000000e+00   4.009985e-25   96
  2.818146e-01   4.799731e-24   4.495664e-09   2.049914e-25   240
  2.831793e-01   4.435372e-24   3.973643e-09   5.604663e-25   24
  2.840530e-01   4.455597e-24   3.064151e-04   1.771317e-25   336
  2.852142e-01   4.261884e-24   0.000000e+00   3.329966e-25   72
  2.862741e-01   4.326377e-24   3.332831e-04   2.143007e-25   168
  2.872346e-01   4.271659e-24   0.000000e+00   2.636612e-25   72
  2.885737e-01   4.027072e-24   0.000000e+00   2.757314e-25   96
  2.896108e-01   3.646184e-24   3.307829e-04   1.452200e-25   216
  2.905708e-01   3.914639e-24   3.973643e-09   2.405387e-25   96
  2.918946e-01   3.715684e-24   0.000000e+00   2.029268e-25   192
  2.925542e-01   4.137323e-24   3.746387e-09   2.252442e-25   144
  2.938691e-01   3.252410e-24   0.000000e+00   3.174895e-25   48
  2.947794e-01   3.908286e-24   3.189136e-04   1.590646e-25   246
  2.960164e-01   3.705019e-24   2.940434e-04   1.910197e-25   168
  2.971308e-01   4.238264e-24   5.506041e-09   2.587901e-25   120
  2.977788e-01   3.491160e-24   0.000000e+00   1.658099e-25   240
  2.990707e-01   3.548512e-24   3.973643e-09   5.596225e-25   24
  3.001001e-01   3.181748e-24   3.147475e-04   1.185059e-25   360
  3.013820e-01   3.072968e-24   3.134082e-04   2.140072e-25   120
  3.022763e-01   2.921790e-24   0.000000e+00   1.412986e-25   144
  3.029133e-01   3.124875e-24   0.000000e+00   1.939315e-25   96
  3.048165e-01   3.096906e-24   0.000000e+00   1.889146e-25   144
  3.054482e-01   2.938720e-24   0.000000e+00   1.829098e-25   132
  3.063360e-01   2.889459e-24   3.093292e-04   1.648324e-25   176
  3.076248e-01   2.594689e-24   3.123602e-04   9.321434e-26   312
  3.092116e-01   2.479979e-24   0.000000e+00   1.834144e-25   96
  3.098343e-01   2.499214e-24   0.000000e+00   1.516447e-25   144
  3.107899e-01   2.496853e-24   3.092271e-04   9.967054e-26   312
