# power spectrum of B
# redshift z=1.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  3.916025e-01   3.902220e-13   2.074668e-04   9.834236e-15   312
  3.931351e-01   2.272277e-13   1.541705e-04   1.217127e-14   270
  3.937775e-01   2.072633e-13   1.957388e-04   1.092004e-14   240
  3.949323e-01   2.033838e-13   2.421536e-04   1.049397e-14   384
  3.956334e-01   2.893338e-13   0.000000e+00   6.942129e-15   192
  3.969952e-01   3.313667e-13   1.942960e-04   1.254942e-14   240
  3.977852e-01   3.727604e-13   2.397927e-04   1.313675e-14   336
  3.992708e-01   2.411086e-13   2.413972e-04   9.831705e-15   480
  4.004761e-01   1.877281e-13   0.000000e+00   5.309626e-15   72
  4.011493e-01   1.925147e-13   2.353842e-04   1.072869e-14   240
  4.020650e-01   1.900998e-13   2.212289e-04   1.359902e-14   312
  4.031147e-01   6.682489e-13   2.390954e-04   1.810664e-14   240
  4.047009e-01   1.157018e-13   1.816506e-04   6.733802e-15   408
  4.053288e-01   3.553388e-13   1.663482e-04   1.335144e-14   336
  4.065560e-01   2.453774e-13   2.112212e-04   1.102018e-14   264
  4.071591e-01   3.231699e-13   0.000000e+00   8.789064e-15   144
  4.088370e-01   2.867653e-13   2.927651e-04   1.535649e-14   464
  4.097211e-01   8.775163e-14   2.328083e-04   5.720529e-15   168
  4.105939e-01   1.390783e-13   2.120376e-04   9.755037e-15   336
  4.121713e-01   2.635883e-13   2.227870e-04   1.153830e-14   414
  4.130606e-01   4.423256e-13   2.319080e-04   5.165504e-14   216
  4.141998e-01   4.086091e-13   5.619580e-09   3.176581e-14   96
  4.146649e-01   1.810072e-13   1.685874e-08   9.990385e-15   384
  4.162944e-01   2.525509e-13   2.314600e-04   1.001239e-14   492
  4.171676e-01   2.090897e-13   2.263480e-04   1.125468e-14   240
  4.181546e-01   2.399982e-13   2.298225e-04   1.473218e-14   312
  4.195176e-01   2.201382e-13   2.297469e-04   1.547595e-14   192
  4.203810e-01   3.129437e-13   2.226525e-04   1.129354e-14   504
  4.215265e-01   3.777467e-13   1.473998e-04   1.351889e-14   408
  4.224284e-01   2.193507e-13   4.515774e-04   1.225083e-14   168
  4.235571e-01   2.318253e-13   2.145032e-04   1.047439e-14   288
  4.245041e-01   1.016298e-13   2.238525e-04   6.893663e-15   288
  4.254743e-01   1.659838e-13   2.251410e-04   7.691898e-15   432
  4.268815e-01   2.625751e-13   2.129084e-04   1.663998e-14   216
  4.276334e-01   2.207014e-13   2.124592e-04   1.499545e-14   360
  4.289721e-01   1.782944e-13   2.073582e-04   1.079943e-14   312
  4.301803e-01   1.436855e-13   0.000000e+00   0.000000e+00   48
  4.308767e-01   2.397228e-13   2.223178e-04   1.367483e-14   432
  4.321240e-01   1.458306e-13   3.708284e-04   6.956878e-15   414
  4.328606e-01   2.805487e-13   1.956255e-08   1.650764e-14   312
  4.342347e-01   2.236521e-13   3.253813e-04   1.040862e-14   528
  4.351620e-01   2.717495e-13   1.707976e-04   1.462712e-14   264
  4.362761e-01   3.199462e-13   2.025191e-04   7.213520e-15   480
  4.377318e-01   3.061823e-13   0.000000e+00   1.482448e-14   288
  4.383604e-01   1.215471e-13   2.176005e-04   8.551056e-15   168
  4.395105e-01   2.118178e-13   3.444610e-04   8.389624e-15   504
  4.408036e-01   1.074859e-13   7.492773e-09   7.901457e-15   144
  4.416171e-01   2.198856e-13   2.212265e-04   8.077800e-15   464
  4.428396e-01   2.053146e-13   3.246624e-04   1.010121e-14   432
  4.434197e-01   1.359848e-13   5.619580e-09   8.016008e-15   192
  4.449189e-01   4.361986e-13   2.406833e-04   2.904346e-14   396
  4.458042e-01   2.003607e-13   2.162000e-04   7.375440e-15   288
  4.466990e-01   4.097282e-13   2.135686e-04   3.307676e-14   336
  4.481283e-01   3.282121e-13   1.352359e-04   1.327097e-14   432
  4.490354e-01   1.195794e-13   3.505126e-04   3.420369e-15   360
  4.500539e-01   1.686124e-13   2.073334e-04   2.829077e-15   384
  4.515004e-01   2.620169e-13   1.830116e-04   1.105390e-14   198
  4.521974e-01   1.862388e-13   2.080246e-04   7.438563e-15   552
  4.534970e-01   2.861823e-13   2.912202e-04   1.786663e-14   432
  4.545821e-01   1.887713e-13   0.000000e+00   1.136186e-14   168
  4.554927e-01   2.455972e-13   3.610065e-04   1.182277e-14   480
  4.566974e-01   4.992289e-13   0.000000e+00   3.089459e-14   120
  4.572396e-01   2.343606e-13   2.948545e-04   1.146747e-14   336
  4.585628e-01   1.620626e-13   2.080152e-04   1.056392e-14   672
  4.598711e-01   2.633526e-13   3.025866e-04   1.212854e-14   528
  4.604805e-01   2.456798e-13   9.082613e-09   1.548194e-14   168
  4.618883e-01   1.065900e-13   3.375333e-04   4.491628e-15   456
  4.627474e-01   2.821147e-13   2.061344e-04   4.033122e-14   168
  4.636392e-01   2.516608e-13   2.057643e-04   1.032840e-14   504
  4.651216e-01   2.944778e-13   2.647872e-04   1.766992e-14   336
  4.660180e-01   2.693945e-13   1.908802e-04   1.477491e-14   312
  4.670124e-01   2.054474e-13   1.865029e-04   6.450174e-15   504
  4.683210e-01   1.275972e-13   1.294009e-04   4.446350e-15   432
  4.689362e-01   1.306647e-13   1.999672e-04   5.223579e-15   312
  4.702151e-01   2.153580e-13   2.049761e-04   1.181231e-14   384
  4.715504e-01   3.615311e-13   1.741510e-04   2.511441e-14   126
  4.723748e-01   2.788662e-13   3.057676e-04   1.865095e-14   492
  4.734278e-01   3.168534e-13   1.958445e-04   1.162962e-14   528
  4.747438e-01   1.721069e-13   1.989360e-04   5.216190e-15   480
  4.755596e-01   2.475460e-13   2.748289e-04   9.270697e-15   432
  4.767402e-01   1.429054e-13   2.161166e-04   4.457119e-15   440
  4.781114e-01   2.465195e-13   1.074739e-04   1.489242e-14   312
  4.786259e-01   1.719988e-13   1.610586e-04   7.662520e-15   480
  4.796813e-01   1.927049e-13   3.153497e-04   1.300693e-14   408
  4.812233e-01   2.708317e-13   1.888588e-04   1.716829e-14   360
  4.818747e-01   2.332641e-13   1.822418e-04   1.405080e-14   408
  4.830820e-01   1.675229e-13   1.854542e-04   7.750115e-15   456
  4.844414e-01   2.661377e-13   1.772485e-04   7.519805e-15   264
  4.851959e-01   1.838567e-13   1.923591e-04   9.911459e-15   384
  4.862943e-01   1.571634e-13   3.238501e-04   7.247470e-15   672
  4.875640e-01   1.928105e-13   1.937042e-04   1.679327e-14   240
  4.882967e-01   2.465080e-13   1.965613e-04   1.385553e-14   264
  4.893308e-01   2.062707e-13   2.424259e-04   7.803478e-15   624
  4.908739e-01   6.684172e-14   0.000000e+00   3.301596e-15   150
  4.914232e-01   2.524195e-13   2.716574e-04   2.392230e-14   600
  4.925819e-01   1.771253e-13   1.874909e-04   7.208044e-15   672
  4.938939e-01   1.890387e-13   1.763484e-04   1.002523e-14   336
  4.946248e-01   1.295836e-13   1.918157e-04   6.183317e-15   408
  4.957926e-01   1.505684e-13   1.913639e-04   5.812620e-15   408
  4.970915e-01   3.137313e-13   9.676385e-05   2.094089e-14   360
  4.978921e-01   2.019971e-13   3.552857e-04   9.356654e-15   456
  4.988592e-01   1.988060e-13   1.932065e-04   1.114164e-14   384
  5.000902e-01   1.131563e-13   1.783541e-04   3.087273e-15   348
  5.007554e-01   8.898848e-14   2.198754e-04   3.065712e-15   576
  5.020050e-01   1.171941e-13   1.810385e-04   5.725210e-15   504
  5.032833e-01   1.346011e-13   2.553443e-04   6.030790e-15   432
  5.043991e-01   1.490549e-13   3.473946e-04   3.379745e-15   576
  5.051948e-01   1.481918e-13   0.000000e+00   1.006637e-14   264
  5.064571e-01   2.720080e-13   2.764393e-04   9.568581e-15   768
  5.075549e-01   1.787891e-13   3.721752e-04   5.995867e-15   240
  5.084277e-01   4.797753e-14   3.282233e-04   3.226296e-15   192
  5.096990e-01   1.442622e-13   2.416124e-04   7.223374e-15   504
  5.106418e-01   1.607590e-13   3.255818e-04   7.582547e-15   590
  5.115460e-01   1.568300e-13   3.647966e-04   7.189577e-15   384
  5.126798e-01   1.903382e-13   3.048625e-04   8.395889e-15   504
  5.140486e-01   1.655445e-13   2.933830e-04   5.688120e-15   648
  5.153764e-01   1.839282e-13   7.967896e-05   4.966833e-15   504
